ID	Citation	Method	Dataset / setting	Works with trade history only?	Requires OHLC?	Requires tick/order data?	Requires account equity?	Entry logic?	Exit logic?	Sizing?	Multiple strategies?	Main failure modes	Transfer to this project	URL
R01	Bellman & Åström (1970), On Structural Identifiability	Structural identifiability of input-output systems	General dynamic systems	No	Market/state inputs needed	No	No	Framework only	Framework only	Framework only	Equivalence classes	Finite and incomplete observations admit non-unique internal models	Formal basis for the mandatory identifiability limitation	https://doi.org/10.1016/0025-5564(70)90132-X
R02	Ljung, System Identification: Theory for the User	Black-box system identification and validation	General stochastic systems	No	State/input measurements needed	No	No	Possible with inputs	Possible with path	Possible with state	Possible via competing models	Misspecification, unmeasured inputs, poor excitation	Frames the account as an input-output system and requires validation	https://rt.isy.liu.se/books/sysid/
R03	Killick, Fearnhead & Eckley (2012), PELT	Penalized optimal multiple changepoints	Ordered observations	Yes, for trade-attribute changes	No	No	No	No	No	Indirect	Behavioral regimes only	Penalty/cost sensitivity; a break is not a new algorithm	Implemented on standardized observed trade features with sensitivity checks	https://doi.org/10.1080/01621459.2012.737745
R04	Page (1954), Continuous Inspection Schemes	CUSUM sequential change monitoring	Quality-control sequences	Yes	No	No	No	No	No	Indirect	Behavioral changes only	Requires a prespecified baseline and shift; serial dependence matters	Useful for future live monitoring after a stable baseline exists	https://doi.org/10.1093/biomet/41.1-2.100
R05	Rabiner (1989), HMM tutorial	Hidden Markov state inference	Sequential signals	Partly	No	No	No	No	No	Indirect	Yes, statistical states	Local optima, emission misspecification, label switching, small samples	Implemented as exploratory latent behavioral states, not source labels	https://doi.org/10.1109/5.18626
R06	Hamilton (1989), Markov switching	Persistent latent regimes in time series	Macroeconomic time series	Partly	No	No	No	No	No	Indirect	Yes, regimes	Regime labels need economic interpretation; model form can create states	Supports distinguishing persistent adaptation from static mixtures	https://doi.org/10.2307/1912559
R07	Teicher (1963), Identifiability of Finite Mixtures	Conditions for mixture identifiability	Probability mixtures	Partly	No	No	No	No	No	Indirect	Yes, mixture components	A fitted component is not automatically a real generator; distributional assumptions matter	Guards against calling GMM components separate EAs	https://doi.org/10.1214/AOMS/1177703862
R08	Rissanen (1978), Modeling by shortest data description	Minimum description length	General model selection	Yes	No	No	No	Possible with candidate rules	Possible with candidates	Possible	Yes	Encoding choice and search universe affect complexity penalty	Use mismatch plus explicit rule/state complexity when market data arrives	https://doi.org/10.1016/0005-1098(78)90005-5
R09	Schwarz (1978), Estimating the Dimension of a Model	Bayesian information criterion	Likelihood models	Yes	No	No	No	No	No	Indirect	Yes	Asymptotic/regularity assumptions; incomparable likelihood definitions	Used to compare GMM/HMM state counts on one observation definition	https://doi.org/10.1214/aos/1176344136
R10	Benjamini & Hochberg (1995)	False-discovery-rate control	Multiple hypothesis tests	Yes	No	No	No	No	No	No	No	Dependence conditions; FDR is not zero false discoveries	Implemented across the registered trade-only tests	https://doi.org/10.1111/j.2517-6161.1995.tb02031.x
R11	White (2000), A Reality Check for Data Snooping	Bootstrap correction over a searched model universe	Predictive model comparisons	No	Usually	Often useful	No	Yes	Yes	Possible	Yes	Fails if attempted rules are not logged or dependence is broken	Required after large indicator/rule search; not applicable before market data	https://doi.org/10.1111/1468-0262.00152
R12	Efron (1979), Bootstrap Methods	Non-parametric sampling uncertainty	General statistical samples	Yes	No	No	No	No	No	No	No	IID resampling breaks dependence	Used for descriptive CIs, supplemented with whole-day cluster resampling	https://doi.org/10.1214/aos/1176344552
R13	Politis & Romano (1994), Stationary Bootstrap	Dependence-preserving bootstrap	Weakly dependent time series	Yes	No	No	No	No	No	No	No	Stationarity assumption; block-length sensitivity	Supports block/day resampling and block-permutation checks	https://doi.org/10.1080/01621459.1994.10476870
R14	Tashman (2000), Out-of-sample forecasting tests	Rolling-origin / walk-forward evaluation	Time-series forecasts	Yes	No	No	No	Possible with features	Possible with features	Possible	Yes	Short folds are noisy; repeated holdout reuse overfits	Implemented for behavioral stability; full strategy validation remains blocked	https://doi.org/10.1016/S0169-2070(00)00065-0
R15	Ng & Russell (2000), Algorithms for Inverse Reinforcement Learning	Recover reward compatible with observed policy	Known state/action dynamics	No	State features required	Often	Possibly	Yes	Yes	Possible	Possible	Many rewards generate the same policy; omitted actions are fatal	Premature until Buy/Sell/NoTrade states and dynamics are reconstructed	https://ai.stanford.edu/~ang/papers/icml00-irl.pdf
R16	Cao, Cohen & Szpruch (2021), Identifiability in IRL	Formal reward identifiability	Known optimal behavior and environments	No	State/environment variation required	No	No	Framework	Framework	Framework	Equivalence	Ill-posed even with perfect optimal behavior absent extra variation	Strengthens the conclusion that fills cannot reveal a unique objective	https://papers.nips.cc/paper/2021/hash/671f0311e2754fcdd37f70a8550379bc-Abstract.html
R17	Schmidt & Lipson (2009), Distilling Free-Form Natural Laws	Symbolic regression	Experimental state trajectories	No	Candidate state variables required	No	No	Yes	Possible	Possible	Possible	Huge adaptive search; correlated expressions and data snooping	Use only with nested walk-forward validation and logged grammar/search	https://doi.org/10.1126/science.1165893
R18	Hayes, Beling & Scherer (2013), Action-based feature representation for reverse engineering trading strategies	Recursive partitioning of trade actions and policy reproduction	Simulated trading tournament	No	Market/action features required	No	No	Yes	Some	Yes	Yes	Known simulated setting; lacks real execution ambiguity	Closest interpretable blueprint after a no-trade panel exists	https://doi.org/10.1007/s10669-013-9458-1
R19	Yang et al. (2015), Gaussian process-based algorithmic trading strategy identification	MDP, linear and Gaussian-process IRL; clustering	E-mini account-level audit trail and reconstructed order book	No	Yes	Yes, billions of order events	Inventory/state helpful	Yes	Yes	Yes	Yes	Data hungry; reward non-uniqueness; incomplete policies	Strong precedent but its data richness is far beyond 423 closed trades	https://doi.org/10.1080/14697688.2015.1011684
R20	Sueshige et al. (2018), Ecology of trading strategies in a forex market	Lagged-return response regression and clustering	Millisecond EBS USD/JPY order/trade data for 1,015 traders	No	Yes	Yes	No	Yes	No	Some	Yes	Closed fills omit submitted/failed orders and opportunity set	Test trend/contrarian horizons only after exact market alignment	https://doi.org/10.1371/journal.pone.0208332
R21	Sueshige et al. (2019), Position management strategies at order-book level	Inventory consolidation/reduction and directional-sequence analysis	EBS order-level trader data	No	Yes	Yes	Inventory required	Indirect	Yes	Yes	Yes	Partial streams misstate exposure and position management	Overlap/reversal ideas transfer, but only approximate here	https://doi.org/10.1371/journal.pone.0220645
R22	Perold (1988), The Implementation Shortfall	Separate paper decision benchmark from realized execution	Portfolio execution	No	Arrival prices needed	Bid/ask and fills	No	No	Execution layer	No	No	Cannot distinguish signal time from fill effects without benchmarks	Supports separating strategy intent from spread/slippage/latency	https://doi.org/10.3905/JPM.1988.409150
R23	BIS Markets Committee (2020), FX execution algorithms and market functioning	Institutional review of slicing/routing and market impact	FX execution algorithms	No	Yes	Orders/fills/venues	No	No	Execution layer	Execution schedules	Yes	Closed trades hide slicing, routing and rejected actions	Authoritative execution-versus-strategy reference	https://www.bis.org/publications/fx-execution-algorithms-and-market-functioning
R24	SIX ISO 4217 List One	Authoritative currency/precious-metal code registry	ISO 4217 codes	Yes	No	No	No	No	No	No	No	Symbol code does not establish the legal wrapper or contract	Establishes XAU as gold and USD as US dollar	https://www.six-group.com/dam/download/financial-information/data-center/iso-currrency/lists/list-one.xml
R25	MetaTrader 5 Market Watch Help	Broker-set symbol specification fields	MT5 terminal	Yes	No	No	No	No	No	Contract sizing	No	Requires the originating broker/server specification	Establishes that suffix/name/digits/contract fields are broker-defined	https://www.metatrader5.com/en/terminal/help/trading/market_watch
R26	CME FX Product Guide	Institutional product taxonomy	CME-listed and spot FX/metal products	Yes	No	No	No	No	No	No	No	Does not identify this broker symbol's exact wrapper	Classifies XAU/USD as spot precious metal / gold	https://www.cmegroup.com/markets/fx/fx-product-guide.html

