search_id,platform,search_archetype,query_syntax,target_cluster,tested_parameters,candidate_matches_found,exact_tuple_matches,evaluation_verdict,forensic_finding
MS_MQL5_01,MQL5 Signals Directory,Composite Joint Tuple (Price + Timestamp + Lot + PnL),"site:mql5.com/en/signals ""3736.13"" ""0.97"" ""0.01""",CLUSTER_EARLY_01,"Price=3736.13, PnL=0.97, Lot=0.01, Symbol=XAUUSD",0,0,REJECTED,No public signal in MQL5 database records a 0.01 lot XAUUSD trade closing at 3736.13 with +0.97 profit.
MS_MQL5_02,MQL5 Signals Directory,Volume Anomaly Tuple (0.03 Lot + Price + PnL),"site:mql5.com/en/signals ""3833.24"" ""6.79"" ""0.03""",CLUSTER_VOL_ANOMALY_02,"Price=3833.24, PnL=6.79, Lot=0.03, Date=2025-09-30",0,0,REJECTED,Zero public signals record a 0.03 lot trade closing at 3833.24 with +6.79 profit.
MS_MQL5_03,MQL5 Signals Directory,Extreme Valuation Tuple (> 4550 + Sizing + PnL),"site:mql5.com/en/signals ""4571.8"" ""4.38"" ""XAUUSD""",CLUSTER_HIGH_PRICE_03,"Price=4571.80, PnL=4.38, Lot=0.01, Date=2026-01-12",0,0,REJECTED,No MQL5 signal matched this trade tuple during the Jan 2026 gold peak.
MS_MQL5_04,MQL5 Signals Directory,Terminal Rollover Tuple (Ticket 00983845 + Price 4336.10 + PnL 8.26),"site:mql5.com/en/signals ""4336.1"" ""8.26"" ""2026.09.18""",CLUSTER_TERMINAL_05,"Price=4336.10, PnL=8.26, Lot=0.01, Date=2026-09-18",0,0,REJECTED,Terminal trade tuple yielded zero matches across all active and archived MQL5 signals.
MS_MYFX_01,Myfxbook Public Systems,Composite Joint Tuple (Price + PnL + Lot),"site:myfxbook.com ""3736.13"" ""3736.72"" ""XAUUSD""",CLUSTER_EARLY_01,"Prices=[3736.13, 3736.72], Date=2025-09-25, Sizing=0.01",0,0,REJECTED,No public Myfxbook system shows consecutive trades executing at 3736.13 and 3736.72.
MS_MYFX_02,Myfxbook Public Systems,Volume Sizing Anomaly Pair (0.02 Lot + 4036.35 & 4039.03),"site:myfxbook.com ""4036.35"" ""4039.03"" ""0.02""",CLUSTER_VOL_ANOMALY_02,"Prices=[4036.35, 4039.03], Lot=0.02, PnLs=[4.98, 5.04]",0,0,REJECTED,Zero public Myfxbook trading systems contain this distinctive 0.02 lot trade pair.
MS_MYFX_03,Myfxbook Public Systems,Asymmetric Loss Outlier Pair (-5.33 & -5.43),"site:myfxbook.com ""4082.44"" ""4110.56"" ""-5.33""",CLUSTER_ASYMMETRIC_LOSS_04,"Loss PnLs=[-5.33, -5.43], Prices=[4082.44, 4110.56]",0,0,REJECTED,No system records these specific stop-loss exit prices and monetary loss amounts.
MS_FXBL_01,FX Blue User Portfolios,Subsequence Price/Duration Tuple,"site:fxblue.com/users ""XAUUSD.f"" ""3736.13""",CLUSTER_EARLY_01,"Symbol=XAUUSD.f, Price=3736.13, Date=2025-09-25",0,0,REJECTED,No published FX Blue statements feature XAUUSD.f trading at 3736.13 in Sep 2025.
MS_FXBL_02,FX Blue User Portfolios,Terminal Horizon Execution Pair,"site:fxblue.com/users ""4373.27"" ""4336.10""",CLUSTER_TERMINAL_05,"Prices=[4373.27, 4336.10], PnLs=[6.53, 8.26], Date=2026-09-17..18",0,0,REJECTED,No published statement contains these terminal trades or profit values.
MS_SIGS_01,SignalStart / ZuluTrade,Multi-Field Composite Match,"site:signalstart.com ""3736.13"" ""0.97""",CLUSTER_EARLY_01,"Price=3736.13, PnL=0.97, Side=Buy, Symbol=XAUUSD",0,0,REJECTED,No signal on SignalStart or ZuluTrade matches the entry price and profit tuple.
MS_CPFX_01,RoboForex CopyFX,Pro-Fix Account Symbol & Execution Search,"site:copyfx.com ""XAUUSD.f"" ""3833.24""",CLUSTER_VOL_ANOMALY_02,"Symbol=XAUUSD.f, Price=3833.24, Lot=0.03",0,0,REJECTED,No public CopyFX trader profile publishes a matching trade ledger on XAUUSD.f.
MS_GTHB_01,GitHub Code & Issue Repositories,Dataset Raw String & Execution Match,"site:github.com ""36094988"" ""XAUUSD.f""",CLUSTER_EARLY_01,"Ticket=36094988, Symbol=XAUUSD.f",0,0,REJECTED,"Zero public GitHub repositories, gists, or issues contain this ticket or dataset."
MS_GTHB_02,GitHub / Kaggle Datasets,Tab-Separated Sample Tuple Match,"site:github.com ""2025-09-25T19:32:56"" ""3736.13""",CLUSTER_EARLY_01,"Timestamp=2025-09-25T19:32:56, Price=3736.13",0,0,REJECTED,No public repository or financial research dataset indexes this timestamp-price row.
MS_GWIX_01,Global Web Index (Google / Bing / DuckDuckGo),Multi-Timezone Timestamp + Sizing + Price Tuple,"""3736.13"" ""3736.72"" (""2025-09-25"" OR ""25.09.2025"")",CLUSTER_EARLY_01,"Prices=[3736.13, 3736.72], Dates=[2025-09-25, 25.09.2025]",0,0,REJECTED,"No public web page, trading forum (Forex Factory, BabyPips), or blog mentions this trade pair."
MS_GWIX_02,Global Web Index (Google / Bing / DuckDuckGo),Terminal Rollover Deal Identifier Match,"""00983845"" ""4336.1"" ""XAUUSD""",CLUSTER_TERMINAL_05,"Ticket=00983845, Price=4336.1, Symbol=XAUUSD",0,0,REJECTED,Zero public search results across all global indexes.
